rf,dateff
0.0016,2/28/2005
0.0021,3/31/2005
0.0021,4/29/2005
0.0024,5/31/2005
0.0023,6/30/2005
0.0024,7/29/2005
0.003,8/31/2005
0.0029,9/30/2005
0.0027,10/31/2005
0.0031,11/30/2005
0.0032,12/30/2005
0.0035,1/31/2006
0.0034,2/28/2006
0.0037,3/31/2006
0.0036,4/28/2006
0.0043,5/31/2006
0.004,6/30/2006
0.004,7/31/2006
0.0042,8/31/2006
0.0041,9/29/2006
0.0041,10/31/2006
0.0042,11/30/2006
0.004,12/29/2006
0.0044,1/31/2007
0.0038,2/28/2007
0.0043,3/30/2007
0.0044,4/30/2007
0.0041,5/31/2007
0.004,6/29/2007
0.004,7/31/2007
0.0042,8/31/2007
0.0032,9/28/2007
0.0032,10/31/2007
0.0034,11/30/2007
0.0027,12/31/2007
0.0021,1/31/2008
0.0013,2/29/2008
0.0017,3/31/2008
0.0018,4/30/2008
0.0018,5/30/2008
0.0017,6/30/2008
0.0015,7/31/2008
0.0013,8/29/2008
0.0015,9/30/2008
0.0008,10/31/2008
0.0003,11/28/2008
0,12/31/2008
0,1/30/2009
0.0001,2/27/2009
0.0002,3/31/2009
0.0001,4/30/2009
0,5/29/2009
0.0001,6/30/2009
0.0001,7/31/2009
0.0001,8/31/2009
0.0001,9/30/2009
0,10/30/2009
0,11/30/2009
0.0001,12/31/2009
0,1/29/2010
0,2/26/2010
0.0001,3/31/2010
0.0001,4/30/2010
0.0001,5/28/2010
0.0001,6/30/2010
0.0001,7/30/2010
0.0001,8/31/2010
0.0001,9/30/2010
0.0001,10/29/2010
0.0001,11/30/2010
0.0001,12/31/2010
0.0001,1/31/2011
0.0001,2/28/2011
0.0001,3/31/2011
0,4/29/2011
0,5/31/2011
0,6/30/2011
0,7/29/2011
0.0001,8/31/2011
0,9/30/2011
0,10/31/2011
0,11/30/2011
0,12/30/2011
0,1/31/2012
0,2/29/2012
0,3/30/2012
0,4/30/2012
0.0001,5/31/2012
0,6/29/2012
0,7/31/2012
0.0001,8/31/2012
0.0001,9/28/2012
0.0001,10/31/2012
0.0001,11/30/2012
0.0001,12/31/2012
0,1/31/2013
0,2/28/2013
0,3/28/2013
0,4/30/2013
0,5/31/2013
0,6/28/2013
0,7/31/2013
0,8/30/2013
0,9/30/2013
0,10/31/2013
0,11/29/2013
0,12/31/2013
0,1/31/2014
0,2/28/2014
0,3/31/2014
0,4/30/2014
0,5/30/2014
0,6/30/2014
0,7/31/2014
0,8/29/2014
0,9/30/2014
0,10/31/2014
0,11/28/2014
0,12/31/2014
0,1/30/2015
0,2/27/2015
0,3/31/2015
0,4/30/2015
0,5/29/2015
0,6/30/2015
0,7/31/2015
0,8/31/2015
0,9/30/2015
0,10/30/2015
0,11/30/2015
0.0001,12/31/2015
0.0001,1/29/2016
0.0002,2/29/2016
0.0002,3/31/2016
0.0001,4/29/2016
0.0001,5/31/2016
0.0002,6/30/2016
0.0002,7/29/2016
0.0002,8/31/2016
0.0002,9/30/2016
0.0002,10/31/2016
0.0001,11/30/2016
0.0003,12/30/2016
0.0004,1/31/2017
0.0004,2/28/2017
0.0003,3/31/2017
0.0005,4/28/2017
0.0006,5/31/2017
0.0006,6/30/2017
0.0007,7/31/2017
0.0009,8/31/2017
0.0009,9/29/2017
0.0009,10/31/2017
0.0008,11/30/2017
0.0009,12/29/2017
0.0011,1/31/2018
0.0011,2/28/2018
0.0012,3/29/2018
0.0014,4/30/2018
0.0014,5/31/2018
0.0014,6/29/2018
0.0016,7/31/2018
0.0016,8/31/2018
0.0015,9/28/2018
0.0019,10/31/2018
0.0018,11/30/2018
0.0019,12/31/2018
0.0021,1/31/2019
0.0018,2/28/2019
0.0019,3/29/2019
0.0021,4/30/2019
0.0021,5/31/2019
0.0018,6/28/2019
0.0019,7/31/2019
0.0016,8/30/2019
0.0018,9/30/2019
0.0015,10/31/2019
0.0012,11/29/2019
0.0014,12/31/2019
0.0013,1/31/2020
0.0012,2/28/2020
0.0012,3/31/2020
0,4/30/2020
0.0001,5/29/2020
0.0001,6/30/2020
0.0001,7/31/2020
0.0001,8/31/2020
0.0001,9/30/2020
0.0001,10/30/2020
0.0001,11/30/2020
0.0001,12/31/2020
0,1/29/2021
0,2/26/2021
0,3/31/2021
0,4/30/2021
0,5/28/2021
0,6/30/2021
0,7/30/2021
0,8/31/2021
0,9/30/2021
0,10/29/2021
0,11/30/2021
0.0001,12/31/2021
0,1/31/2022
0,2/28/2022
0,3/31/2022
0,4/29/2022
0.0003,5/31/2022
0.0006,6/30/2022
0.0008,7/29/2022
0.0019,8/31/2022
0.0019,9/30/2022
0.0023,10/31/2022
0.0029,11/30/2022
0.0033,12/30/2022
0.0035,1/31/2023
0.0034,2/28/2023
0.0036,3/31/2023
0.0035,4/28/2023
0.0036,5/31/2023
0.004,6/30/2023
0.0045,7/31/2023
0.0045,8/31/2023
0.0043,9/29/2023
0.0047,10/31/2023
0.0044,11/30/2023
0.0043,12/29/2023
0.0047,1/31/2024
0.0042,2/29/2024
0.0043,3/28/2024
0.0047,4/30/2024
0.0044,5/31/2024
0.0041,6/28/2024
0.0045,7/31/2024
0.0048,8/30/2024
0.004,9/30/2024
0.0039,10/31/2024
0.004,11/29/2024
0.0037,12/31/2024
